 ,Sentence,Chinese,Sort of done romanization,,,,,,Direct Chinese Translation from Hokkien,,,,,,,,,,,,,,,,,
365,He hasn't finished the sweet in his mouth.,_____________,i ei tshui lai bin u it liap tuhng ah bue tsiaq uan _,Done,,,,,,,,,,,,,,,,,,,,,,
366,"You only spent one dollar, and you consider this a lot?",_____________,le kui tsit koh lui nia_to lo suhng tsue_,Done,,,,,,,,,,,,,,,,,,,,,,
367,My throat has been hurting for quite a few days.,___________,ua ei au leing tia liau gui lit liau _,Done,__,,,,,,,,,,,,,,,,,,,,,
368,You don't spend a lot of money.,________,le kui ei lui bue tsue _,Done,,,,,,,,,,,,,,,,,,,,,,
369,Ice will melt after a while in the mouth.,___________,suhng gahm te tshui lai min it ei iu ki_,Done,_(gahm)___,,,,,,,,,,,,,,,,,,,,,
370,"It's after work already, why haven't you gone home?",____________,i geing bahng gahng liau _le ge ah bue tuhng tsu _,Done,,,,,,,,,,,,,,,,,,,,,,
371,The piece of medicine tastes very bitter in the mouth.,__________,io pi gahm bahng tshui lai min tsin dzia koh _,Done,,,,,,,,,,,,,,,,,,,,,,
372,You are still unsatisfied despite living in such a nice house?,______________,kia ah ni ho ei tshu_le ge bue mua i _,Done,,,,,,,,,,,,,,,,,,,,,,
373,The kindergarten children are currently playing a game.,_____________,___ei giah __te dzo _hi _,,,,,,,,,,,,,,,,,,,,,,,
374,The colour of these shoes are not bad.,_________,tsi suang ei ei seiq bue pai _,Done,,,,,,,,,,,,,,,,,,,,,,
375,The children are currently there playing a game.,________,gin nah dzit dzun ti hiq tau suhng,Done,,,,,,,,,,,,,,,,,,,,,,
376,I like the colour of these pair of shoes better.,___________,ua gah su gah tsi suang ue ei kuan_,Done,__,,,,,,,,,,,,,,,,,,,,,
377,These children are so cute.,________,tsi giah tsin ko ai _,Done,__,,,,,,,,,,,,,,,,,,,,,
378,My mother's cooking is very good and aromatic,______________,ua lau bu dzo ei tsai tsin ho tsiaq_bi to mah pahng,Done,____,,,,,,,,,,,,,,,,,,,,,
379,Remind me to take the clothes out of the washing machine to sun.,________________,ai ei gi kio ua gia sue sah ki lai min ei sah,Done,,,,,,,,,,,,,,,,,,,,,,
380,The flower he drew is quite nice.,__________,i ue ei hue tsin ho kuah _,Done,,,,,,,,,,,,,,,,,,,,,,
381,"Every word has to be written from left to write, and must be written thrice.",____________________,tahq ei _dzi __bi ___bi _sia _sia lahk tsit lei _ai sia sah teng lai _,,,,,,,,,,,,,,,,,,,,,,,
382,He is very sincere with his friends.,__________,i tui peing u tsin tsin sim ei _,Done,,,,,,,,,,,,,,,,,,,,,,
383,"The first line is not written very nicely, but the second and third line are beautifully written.",______________________,tei  it _sia gah bue tsin ho _tei  ti __tei  sah _sia gah tsin dzia sui _,,,,,,,,,,,,,,,,,,,,,,,
384,He really has a way.,_______,i tsin ei u bahn huat _,Done,__(ei sai),,,,,,,,,,,,,,,,,,,,,
385,I only read a few lines of that newspaper before it was snatched by Anna.,___________________,hiq tiu bo dzua ua _kuah liau gui __tio ___gia gia liau _,,,,,,,,,,,,,,,,,,,,,,,
386,"This child is scared of pain, he is unwilling to get an injection.",____________,tsi gin nah kia tia _mai pah tsahm_,Done,__,,,,,,,,,,,,,,,,,,,,,
387,"She cried, tears came out from her eyes.",__________,i khau liau _bahk tsiu lau bahk sai,Done,,,,,,,,,,,,,,,,,,,,,,
388,Mother expressed her dissatisfication to Brother.,___________,lau bu tui tua hia bue mua i _,Done,,,,,,,,,,,,,,,,,,,,,,
389,You must study hard to make it.,__________,ai taht ho tsei tio ai ___,,,,,,,,,,,,,,,,,,,,,,,
390,"You are still a university student, how can you be so uncivilised?",_______________,le si tua o seing liau_ahn dzua ah ni bue ___,,,,,,,,,,,,,,,,,,,,,,,
391,"Sure, I like your idea.",__________,ei sai_ua su gah le ei bahn huat _,Done,,,,,,,,,,,,,,,,,,,,,,
392,"It has been raining for three days, why is sun still not out?",__________________,hoh lo sah lit liau _lit tau ahn dzua ah bue tshut lai?,Done,,,,,,,,,,,,,,,,,,,,,,
393,"Please just agree, okay?",__________,le tio __bah __bue __,,,,,,,,,,,,,,,,,,,,,,,
394,"You hit someone, you're in the wrong.",______________,le seing pah pahq lahng _le ge u do li_,Done,,,,,,,,,,,,,,,,,,,,,,
395,In the afternoon I want to return books to the library.,___________,ei bo ua ai ki toh su guan heing tsei _,Done,_________,,,,,,,,,,,,,,,,,,,,,
396,"She is just smart, she always gets first in exams.",___________,i tio si ei sai_tahq bai ko tei it mia _,Done,,,,,,,,,,,,,,,,,,,,,,
397,"In the afternoon, I want to go to the library to read",__________,ei bo ua ai ki toh su guan kua tsei,Done,,,,,,,,,,,,,,,,,,,,,,
398,You are better than me at singing and dancing.,__________,tshiu gua tiau bu_le bi ua ho_,Done,__,,,,,,,,,,,,,,,,,,,,,
399,I went to return the bicycle.,_______,ua ki ge heing ua ei tah kah tsia _,Done,,,,,,,,,,,,,,,,,,,,,,
400,I can't learn anything! I can't even read chinese words!,_______________,ua si mi mah o bei ho_tuhng lahng di mah bei hiau tahq,Done,,,,,,,,,,,,,,,,,,,,,,
401,There are three big hospitals around here.,___________,tsi hu gin u sah ei lo gun tshu _,Done,__ lo gun __,,,,,,,,,,,,,,,,,,,,,
402,He enthusiastically helped me; I was too emotional to say anything.,___________________,i ho sim ai bahng tshoh ua _ua geiq tong gah gohng bue tshut ue lai _,Done,"bahng tshoh, geiq tong _____",,,,,,,,,,,,,,,,,,,,,
403,"The new computer is very fast, it is nice to use it.",__________________,"sin ei tian nau tsin gin, tsin hoh iong_",Done,,,,,,,,,,,,,,,,,,,,,,
404,"Hearing this emotional story, I felt very disturbed.",____________________,tia liau tsi lei gahm dong ei goh suh _ua _,Done,unsettled feeling,__,,,,,,,,,,,,,,,,,,,,
405,"Yesterday, I returned all the money I borrowed.",____________,tsio ei lui _ua tsah lit long tsong heing liau _,Done,,,,,,,,,,,,,,,,,,,,,,
406,"He couldn't control his emotions, and he spoke very loudly.",_____________________,i bue sai kohng dzei gah gi ei sim tseing_gohng ue ge gohng ge tua sia_,Done,_____,,,,,,,,,,,,,,,,,,,,,
407,"He wants to borrow so much money, can he return it?",______________,i ai tsio ah ni tsue lui _ei heing bo _,Done,,,,,,,,,,,,,,,,,,,,,,
408,I love drinking tea.,_______,ua su gah lim tei_,Done,_,,,,,,,,,,,,,,,,,,,,,
409,That old driver has been driving for thirty years; he has a lot of experience.,____________________,hiq ei lau si ki kui liau sah tsahp ni ei tsia _geing iam tsin tsue _,Done,_____,,,,,,,,,,,,,,,,,,,,,
410,He does not like to eat eggs.,_______,i boh ai tsiaq gue neng _,Done,,,,,,,,,,,,,,,,,,,,,,
411,He has many years of experience,________,i u tsin tsue ni ei geing iam,Done,,,,,,,,,,,,,,,,,,,,,,
412,Eggs have a lot of nutritional value.,_______,gue neng tsin dzia u eing iong _,Done,__,,,,,,,,,,,,,,,,,,,,,
413,"He often reads books about Chinese culture, so he knows a lot about Chinese culture.",_________________________________,i __kuah kuah tioong gohk ___bin ei tsei _bahn bahn _ei _sian liau bue tsio gim _tioong gohk __ei ___,,,,,,,,,,,,,,,,,,,,,,,
414,"The egg rolled off the table, and broke.",______________,gue neng di to teing go lo lai _pua liau _,Done,,,,,,,,,,,,,,,,,,,,,,
415,He earned his own money,___________,i ei lui long tsong si ko kah ki tahn lai ei _,Done,_,,,,,,,,,,,,,,,,,,,,,
416,The eggs here are very cheap.,___________,tsit tau ei gue neng tsin dzia pi _,Done,,,,,,,,,,,,,,,,,,,,,,
417,That old doctor passed on his experience to his students,________________,hiq ei lau i seing bah i ei geing iam lohng tsong hoh i ei hahq seing_,Done,,,,,,,,,,,,,,,,,,,,,,
418,He doesn't like the taste of egg.,__________,i boh su gah gue neng ei bi_,Done,_,,,,,,,,,,,,,,,,,,,,,
419,"The child has entered the best university, his parents are very excited.",__________________,heiq ei gin nah ko tio siang ho ei tua o _pei bu long tsong tsin dzia hua hi _,Done,,,,,,,,,,,,,,,,,,,,,,
420,"The actor is very famous, everone wants to see him",_______________,hiq ei ian hi ei lahn tsin tshut mia_taht ei lahng mah ai kua yi,Done,____,,,,,,,,,,,,,,,,,,,,,
421,"Upon hearing the new, his parents were happier than usual",__________________,"tia tio tsit lei siau sip, i ei pei bu bi peing siong si gah hua hi _",Done,__,,,,,,,,,,,,,,,,,,,,,
422,"I heard that I was first in a competition, and was very excited.",__________________,ua tia gohng ua bi sai gia tei  it mia _tsin dzia hua hi_,Done,,,,,,,,,,,,,,,,,,,,,,
423,"He was worried about being late, so he woke up.",____________,i tahm sim tsi to ____min tsuhng liau _,Done,__,,,,,,,,,,,,,,,,,,,,,
424,"Yesterday night, Brother was studying, so the room light was on all the time.",______________________,"dzah mei, tua hia taht tsie kau sah gi bua mi, hue ti ti kui tiau",Done,,,,,,,,,,,,,,,,,,,,,,
425,"He is very worried, so he woke up immediately.",______________,i sim _tsin dzia __soh i ___min tsuhng liau _,,,,,,,,,,,,,,,,,,,,,,,
426,"It is time for class, so he hurriedly walked towards the classroom.",___________________,tsiong koh si gahn gin tio liau _i ____ei _gah si gia _,,,,,,,,,,,,,,,,,,,,,,,
427,"Put the watermelon in the fridge for a while, it will taste nicer.",__________________,"si gue bahng di suhng tu tsit bahn nia, tiu gah ho tsiaq",Done,,,,,,,,,,,,,,,,,,,,,,
428,The son went out of his way to buy a present to celebrate his mother's birthday.,_________________,i ei giah bue lei u ho i lau bu lai tsheing tsokq sei lit _,Done,,,,,,,,,,,,,,,,,,,,,,
429,Please help me close the tap.,_________,gah ua gui tshui tshun tau,Done,,,,,,,,,,,,,,,,,,,,,,
430,"The box is locked, it cannot be opened without a key.",_____________,tsit ei ahp soh tiau _bo so si bei sai kui_,Done,,,,,,,,,,,,,,,,,,,,,,
431,He has gone to the place where they treat sick people.,___________,i ki hoh pua bi lahng kuah bi,Done,,,,,,,,,,,,,,,,,,,,,,
432,"A cow charged towards us, we immediately ran",____________,it thau gu dit tau tshohng gue lai _ua nahng kah gin dzau_,Done,,,,,,,,,,,,,,,,,,,,,,
433,"His sister works in the hospital, she is a nurse.",______________,i sio bei te lo gun tshu dzoh kahng _si tsit lei mi si _,Done,,,,,,,,,,,,,,,,,,,,,,
434,The government specially designated an area for building a zoo,____________,tseing hu ue tshut it lei soh tsai dzoh ____,,,,,,,,,,,,,,,,,,,,,,,
435,"He saw that the lift door was closing, so he hurriedly said to the person inside: ""Please wait a moment!""",_____________________Ò______Ó,i kuah tian ti muhng ai gue liau _tiu gio tio _Òtshia tahn tsi ei_Ó,Done,,,,,,,,,,,,,,,,,,,,,,
436,"He always wants to finish things quickly, and is always rushing.",________________________,i dzo si mi tiu ai kah gin dzo uan _so i tsin gahn tshiong _,Done,,,,,,,,,,,,,,,,,,,,,,
437,"I heard someone knocking the door, so I hurriedly went to open it.",______________,ua tia tio u lahng kah muhng _kah gin ki kui _,Done,__,,,,,,,,,,,,,,,,,,,,,
438,"The computer has been on for a day, switch it off for a while",________________,"tian nau i geing kui tsit lit liau, gui tsit bahn nia lah",Done,,,,,,,,,,,,,,,,,,,,,,
439,He wrote an essay to in memory of his father who died two years ago.,_________________,i sia liau it pian tso bun lai gi niam neng ni tseing si ki ei lau pei_,Done,__,,,,,,,,,,,,,,,,,,,,,
440,"To commemorate this musician, people hold a music concert every year.",________________________,ui liau gi niam tsi ei eing gahk gah_tsin tsue lahng tahq ni tshu bahn tsit lei eing gahk biau ian_,Done,,,,,,,,,,,,,,,,,,,,,,
441,Where did I park the car?,_________,ua bah tsia teing bahng to lo?,Done,,,,,,,,,,,,,,,,,,,,,,
442,"Today is their tenth wedding anniversary, which is a significant day for him.",___________________________,gin lit si in nahng geiq hun tsahp tsiu ni _tui in nahng lai gohng si tsit ei gei taht gi niam ei lit tsi_,Done,__,,,,,,,,,,,,,,,,,,,,,
443,People came to the plaza to commemorate the soldiers who sacrificed themselves for the country.,___________________,tsin tsue lahng lai gau gohng tsiung gi niam lohng tsong di pah tsian si si ki ei peing_,Done,____,,,,,,,,,,,,,,,,,,,,,
444,The water did not take long to boil,__________,hue kui tsit bahn nia tshui tiu gun liau,Done,,,,,,,,,,,,,,,,,,,,,,
445,"He has a happy family, his wife is nice and his children are cute. ",______________________,i ei gei tiu tsin heing hohk_boh tsin dzia ho _gin nah mah tsin dzia ko ai _,Done,_____,,,,,,,,,,,,,,,,,,,,,
446,"The table, chair, cupboard etc. were all bought recently.",_____________________,i tsu ei to teing _gau i _tu_long tsong si sin ei _,Done,,,,,,,,,,,,,,,,,,,,,,
447,"His family is a big family, there are ten people.",_________________,i u tsit ei tua gei tiu_lohng tsong u tsahp gui ei lahng _,Done,,,,,,,,,,,,,,,,,,,,,,
448,"I rented a new house, so I need some furniture.",______________,ua dzu liau tsit geing tsu_su iau gei si_,Done,__ gei si,,,,,,,,,,,,,,,,,,,,,
449,"He hopes to marry his girlfriend, and become a family.",_________________,i ai gah i ei tsah boh peing u geiq hun _kai si tsit ei gei tiu_,Done,,,,,,,,,,,,,,,,,,,,,,
450,"This room is not very big, it can't fit so much furniture.",_________________,tsi lei bahng geing bue tsin tua _pahng bue lo ah ni tsue gei si_,Done,,,,,,,,,,,,,,,,,,,,,,
451,"After marriage, she did not go out and work anymore, and became a housewife instead.",____________________,geiq hun au i tiu bo dzoh kahng liau_ti tsu goh gia_,Done,,,,,,,,,,,,,,,,,,,,,,
452,"This room has not much furniture, just a bed and a table.",______________________,tsi lei bahng geing bo si mi gei si_tsit tiu min tsuhng gah tsit tiu to teing nia _,Done,,,,,,,,,,,,,,,,,,,,,,
453,"He was very young when his parents died, so he has never experienced the warmth of family.",_______________________,i tsin sue han si pei bu tio si ki liau _tiong lai bo gah tio gue gei tiu ei un nuan_,Done,__,,,,,,,,,,,,,,,,,,,,,
454,"My family has four people: my father, my mother, my sister and I.",__________________,ua tsu u si ei lahng _lau pei _lau bu _tua tsi gah ua _,Done,,,,,,,,,,,,,,,,,,,,,,
455,"The furniture I am using is too old, it is time to change to new furniture.",____________________,ua dzi dzun iong ei tsit toh gei si tsin gu liau __ua sin tsu _liau _,Done,___,,,,,,,,,,,,,,,,,,,,,
456,Last weekend my entire family went for a trip.,_______________,tiong lei bai lah nahng long tsong tshut gohk tsiaq hohng liau _,Done,,,,,,,,,,,,,,,,,,,,,,
457,"The design and colour of this furniture is not bad, it would look nice in my room.",__________________________,tsi toh gei si seiq bue pai _bahng te ua ei bahng geing tia tio ho kuah _,Done,,,,,,,,,,,,,,,,,,,,,,
458,Our two families have a good relationship.,___________,lah nahng neng gei lahng guan hei tsin dzia ho _,Done,,,,,,,,,,,,,,,,,,,,,,
459,Mother is doing housework in the house.,_________,lau bu te tsu dzo kahng kei_,Done,,,,,,,,,,,,,,,,,,,,,,
460,My family has stayed in this place for a few decades.,________________,ua tsit gei te tsi tau kia gui tsahp ni liau _,Done,,,,,,,,,,,,,,,,,,,,,,
461,"She is cooking, washing clothes, packing up the room or something similar.",__________________,i m si dzo buhng _tiu si sue sah ah si siu sip bahng geing,Done,,,,,,,,,,,,,,,,,,,,,,
462,Can you brush this cup?,________,tsit ei tei bue sue tsit ei,Done,_____,,,,,,,,,,,,,,,,,,,,,
463,"Although she is not old, she knows how to do housework well.",_______________,i sui lian siau lian _ge si tsin kiang dzo tsu lai ei kahng kei _,Done,,,,,,,,,,,,,,,,,,,,,,
464,"I haven't washed my hands in a day, my hands are very dirty.",____________,ua tsit lit bo sue tsiu liau _tsiu tsin dzia lah sahp _,Done,,,,,,,,,,,,,,,,,,,,,,
465,He let his child learn some easier things.,________________,i hoh i giah o dzo gah gahn tahn ei _,Done,__,,,,,,,,,,,,,,,,,,,,,
466,His house is near.,_______,i tsu tio te hu gin _,Done,,,,,,,,,,,,,,,,,,,,,,
467,"There is too much housework, so the wife hopes her husband can help her.",__________________,tsu lai kahng kei tsin tsue _boh hi bahng ahng ei sai tau kah tsiu_,Done,,,,,,,,,,,,,,,,,,,,,,
468,This beautiful small block is my new house.,______________,tsi dzoh sue lau tio si ua ei sin tsu _,Done,,,,,,,,,,,,,,,,,,,,,,
469,"She has to take care of the children and do the housework, which is very hard.",_________________,i iu ai tsiau goh gin nah iu ai dzoh tsu lai ei kahng kei_tsin sin koh _,Done,__,,,,,,,,,,,,,,,,,,,,,
470,"It's too late now, I have to go home.",____________,dzi dzun tsin ua liau _ua ai tuhng tsu liau _,Done,,,,,,,,,,,,,,,,,,,,,,
471,He wants to be a doctor when he grows up.,___________,i tua hahn siung ai tsoh i seing _,Done,,,,,,,,,,,,,,,,,,,,,,
472,His house has a bigger area than my house.,_________,i ei tsu bi ua tsu tua _,Done,,,,,,,,,,,,,,,,,,,,,,
473,"You've had a cold for two days, have you seen a doctor?",______________,le gahm moh neng lit liau _kuah i seing liau bei _,Done,,,,,,,,,,,,,,,,,,,,,,
474,"His house is near school, he only needs five minutes to walk from his house to school.",______________________,i kia tsin kau gun o tuhng _gia loh goh hun dzeing tiu kau liau,Done,,,,,,,,,,,,,,,,,,,,,,
475,A doctor's work is hard.,_________,i seing ei kahng tsin dzia sin koh _,Done,,,,,,,,,,,,,,,,,,,,,,
476,"Her mother said that she's not at home, she has gone to her friend's house to play.",_________________,i lau bu gohng i boh te tsu _i ki peing u tsu seing_,Done,,,,,,,,,,,,,,,,,,,,,,
477,"Our school has no hospital, only a doctor.",________________,lah nahng o tuhng bo lo gun tsu_u tsit ei i seing nia_,Done,,,,,,,,,,,,,,,,,,,,,,
478,The police caught two thieves.,____________,mah tah lia tio heiq neng ei tau ming gia ei lahng _,Done,__,,,,,,,,,,,,,,,,,,,,,
479,"If you don't feel well, you can go to the medical wing of the fire station.",_______________________,le ah si kah tiq bue su hohq _ei sai ki ___ kuah kuah ,,,,,,,,,,,,,,,,,,,,,,,
480,Behind his house is a forest.,___________,i ei tsu au bei si ___,,,,,,,,,,,,,,,,,,,,,,,
481,The furniture in his house is all new.,__________,i tsu ei gei si long tsong si sin ei _,Done,,,,,,,,,,,,,,,,,,,,,,
482,Our school only has a place to treat common illnesses.,_________________,lah nahng o tuhng u tsit ei kua bi ei so tsai _,Done,,,,,,,,,,,,,,,,,,,,,,
483,The movie ticket is on the table in the house.,_____________,kua hi ei pio pahng te to teing _,Done,,,,,,,,,,,,,,,,,,,,,,
484,"The medical wing can't treat this illness, you need to go to the hospital.",_______________,tsi pua bi ____bi liau _su iau tio ___,,,,,,,,,,,,,,,,,,,,,,,
485,He is a heart specialist,_________________,i si tsit ei dzuan muhn kuah seing tsong bi ei i seing _,Done,,,,,,,,,,,,,,,,,,,,,,
486,Our factory's medical wing only has two doctors.,_______________,lah nahng __ei ___dzi u neng tsit lei i seing _,,,,,,,,,,,,,,,,,,,,,,,
487,This hospital has around three hundred doctors.,____________,tsi lei lo gun tsu u sah pahq gui ei i seing _,Done,,,,,,,,,,,,,,,,,,,,,,
488,"Although modern medicine is very advanced, some illnesses cannot be cured.",____________________,tsit dzun ei i ko sui lian tsin dzia ____u _pua bi ge si _bue liau _,,,,,,,,,,,,,,,,,,,,,,,
489,"He is very sick, what did the doctor say?",_____________,i pua bi gah ah ni iam tiong _i seing ahn dzua gohng _,Done,,,,,,,,,,,,,,,,,,,,,,
490,"His father deals with medicine, and has researched on many sicknesses.",___________________,i lau pei si i seing _tui kuah bi u geing iam_,Done,,,,,,,,,,,,,,,,,,,,,,
491,"He has read many famous medical books, so he knows how to treat sicknesses.",___________________,i taht gue tsin tsue i ko ei tsei_tsai ia ahn dzua i tsi kuan bi _,Done,,,,,,,,,,,,,,,,,,,,,,
492,There is a cage under the table.,__________,to teing ei kah u tsit tsia kah ti_,Done,,,,,,,,,,,,,,,,,,,,,,
493,"He fell sick, and went to the hospital.",__________,i pua bi liau _ki lo gun tsu liau _,Done,,,,,,,,,,,,,,,,,,,,,,
494,Chinese medicine has a long history.,_____________,tioong gohk ei i ko u tsin dzia tuhng ei leiq si liau _,Done,,,,,,,,,,,,,,,,,,,,,,
495,,___________,ua bue ki liau gia so si _gah ua so muhng ,Done,,,,,,,,,,,,,,,,,,,,,,
496,,__________,gin lit tsin dzia dzua _kah ua kui leing khi,Done,,,,,,,,,,,,,,,,,,,,,,
497,,__________,ua te tse buhng _gah ua gue tahng ah ,Done,,,,,,,,,,,,,,,,,,,,,,
498,,______,kah tian ue hoh ah meng,Done,,,,,,,,,,,,,,,,,,,,,,
499,,__________,u lahng kah muhng _gah ua kui muhng _,Done,,,,,,,,,,,,,,,,,,,,,,
500,,_______________,"ti oh oh, ai lo hoh liau, ua ai ki siu sah",Done,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,__________________,"suhng tu bahng tsit tau bue seiq haht, ua nahng bua kui bah",Done,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,________________,,,,,,,,,,,,,,,,,,,,,,,,
,,______________,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,___________,,,,,,,,,,,,,,,,,,,,,,,,
,,______________{sofa}_________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,_____________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,________________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,_____________,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,________,,,,,,,,,,,,,,,,,,,,,,,,
,,____________________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,_____________,,,,,,,,,,,,,,,,,,,,,,,,
,,___________________,,,,,,,,,,,,,,,,,,,,,,,,
,,__________________,,,,,,,,,,,,,,,,,,,,,,,,
,,___________,,,,,,,,,,,,,,,,,,,,,,,,
,,_________,,,,,,,,,,,,,,,,,,,,,,,,
,,_________________________,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,____________,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,__________________,,,,,,,,,,,,,,,,,,,,,,,,
,,________________,,,,,,,,,,,,,,,,,,,,,,,,
,,____________,,,,,,,,,,,,,,,,,,,,,,,,
,,_______,,,,,,,,,,,,,,,,,,,,,,,,
,,_______________,,,,,,,,,,,,,,,,,,,,,,,,
,,__________,,,,,,,,,,,,,,,,,,,,,,,,
,,___________,,,,,,,,,,,,,,,,,,,,,,,,
,,______,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
